file,xcenter,ycenter,width,height,class
00000.jpg,0.5841911764705883,0.535625,0.030147058823529412,0.04375,4
00001.jpg,0.7378676470588236,0.5125,0.030147058823529412,0.055,5
00001.jpg,0.3044117647058823,0.65375,0.041176470588235294,0.0725,5
00001.jpg,0.736764705882353,0.453125,0.04264705882352941,0.06875,7
00002.jpg,0.6977941176470588,0.6675,0.0838235294117647,0.145,5
00003.jpg,0.5540441176470589,0.568125,0.016911764705882352,0.02875,2
00003.jpg,0.5536764705882353,0.596875,0.016176470588235296,0.02875,6
00003.jpg,0.5536764705882353,0.534375,0.023529411764705882,0.03875,4
00004.jpg,0.6856617647058824,0.469375,0.05073529411764706,0.08375,4
00004.jpg,0.6841911764705882,0.54125,0.03602941176470588,0.065,2
00005.jpg,0.9029411764705882,0.27625,0.08235294117647059,0.1425,6
00006.jpg,0.7040441176470589,0.4775,0.04632352941176471,0.08,2
00007.jpg,0.6209558823529412,0.531875,0.028676470588235293,0.04875,6
00008.jpg,0.586764705882353,0.59125,0.01911764705882353,0.0325,2
00008.jpg,0.5863970588235294,0.553125,0.027205882352941177,0.04625,7
00009.jpg,0.6889705882352941,0.5975,0.01764705882352941,0.03,2
00010.jpg,0.9051470588235294,0.49625,0.05588235294117647,0.0975,7
00011.jpg,0.5477941176470589,0.46,0.03676470588235294,0.075,2
00011.jpg,0.5477941176470589,0.379375,0.051470588235294115,0.09625,4
00012.jpg,0.7400735294117647,0.48875,0.04044117647058824,0.0675,2
00013.jpg,0.7952205882352941,0.398125,0.05661764705882353,0.09375,2
00014.jpg,0.5308823529411765,0.626875,0.014705882352941176,0.02375,4
00015.jpg,0.5801470588235295,0.555,0.027941176470588237,0.045,4
00016.jpg,0.6838235294117647,0.561875,0.04264705882352941,0.07125,7
00017.jpg,0.7128676470588236,0.44375,0.09044117647058823,0.1325,4
00017.jpg,0.43125,0.63125,0.016911764705882352,0.025,4
00018.jpg,0.7099264705882353,0.588125,0.022794117647058822,0.03875,2
00019.jpg,0.6375,0.4925,0.04264705882352941,0.07,7
00019.jpg,0.6371323529411764,0.555,0.03161764705882353,0.0525,2
00020.jpg,0.6202205882352941,0.556875,0.027205882352941177,0.04375,4
00021.jpg,0.6257352941176471,0.515625,0.03823529411764706,0.06125,3
