file,xcenter,ycenter,width,height,class
img1.jpg,0.353805,0.362483,0.190921,0.127281,0
img1.jpg,0.354306,0.471851,0.131175,0.08567,5
img10.jpg,0.428883,0.512039,0.441298,0.606905,1
img11.jpg,0.501013,0.380305,0.440683,0.309992,1
img12.jpg,0.729427,0.393052,0.275521,0.511319,1
img13.jpg,0.513948,0.434224,0.478445,0.380115,1
img14.jpg,0.567998,0.696470,0.694444,0.517554,1
img15.jpg,0.507812,0.271801,0.547768,0.412351,1
img16.jpg,0.603901,0.307990,0.107484,0.159809,1
img17.jpg,0.277282,0.757068,0.246362,0.19122,1
img18.jpg,0.640738,0.395562,0.325615,0.218041,1
img19.jpg,0.281250,0.281684,0.201389,0.286458,1
img19.jpg,0.279803,0.584852,0.199653,0.295573,5
img2.jpg,0.496250,0.513625,0.270167,0.40525,1
img20.jpg,0.508149,0.222810,0.736903,0.365667,5
img21.jpg,0.584375,0.500417,0.062500,0.0875,5
img21.jpg,0.781250,0.545000,0.063750,0.085,1
img21.jpg,0.780937,0.425000,0.033125,0.12,0
img22.jpg,0.510441,0.370214,0.356729,0.335867,5
img23.jpg,0.501736,0.329335,0.552715,0.381313,1
img24.jpg,0.490451,0.464024,0.387153,0.26331,1
img25.jpg,0.671188,0.335050,0.253091,0.186969,1
img26.jpg,0.639970,0.471288,0.090669,0.094069,1
img27.jpg,0.461287,0.675561,0.186214,0.126988,1
img28.jpg,0.510152,0.262890,0.110504,0.205666,1
img29.jpg,0.285791,0.215812,0.181268,0.40438,7
img29.jpg,0.266827,0.682959,0.251246,0.475962,5
img29.jpg,0.526264,0.644899,0.018697,0.028045,5
img29.jpg,0.571403,0.627404,0.015670,0.02297,3
img29.jpg,0.763444,0.607772,0.015848,0.020566,3
img29.jpg,0.761396,0.592014,0.011396,0.015224,4
img29.jpg,0.642984,0.678285,0.004630,0.007212,5
img3.jpg,0.490451,0.466276,0.345139,0.673177,1
img30.jpg,0.474630,0.471041,0.117378,0.200589,1
img31.jpg,0.432304,0.391075,0.162708,0.123581,1
img31.jpg,0.509501,0.518088,0.012668,0.017692,0
img31.jpg,0.479909,0.452337,0.010887,0.020069,0
img31.jpg,0.532264,0.518022,0.009897,0.018088,0
img32.jpg,0.317570,0.573326,0.176054,0.18243,1
img33.jpg,0.508212,0.265397,0.296229,0.2224,5
img34.jpg,0.563160,0.521250,0.261312,0.176,5
img35.jpg,0.443816,0.590625,0.147813,0.09025,5
img36.jpg,0.691183,0.240849,0.128683,0.19855,1
img37.jpg,0.294338,0.461449,0.143162,0.09562,1
img38.jpg,0.765257,0.147474,0.235955,0.29436,6
img39.jpg,0.602462,0.388479,0.325538,0.429345,6
img4.jpg,0.498056,0.493474,0.290448,0.437656,1
img40.jpg,0.422879,0.620313,0.228348,0.151935,1
img41.jpg,0.607577,0.398017,0.040743,0.12758,1
img42.jpg,0.487500,0.552333,0.105000,0.094333,5
img42.jpg,0.489750,0.421000,0.086500,0.123,7
img43.jpg,0.583569,0.366985,0.268198,0.223105,1
img44.jpg,0.755095,0.485444,0.087364,0.130497,1
img45.jpg,0.561485,0.194795,0.256961,0.193598,5
img45.jpg,0.574246,0.796494,0.121230,0.091246,5
img46.jpg,0.490885,0.675347,0.158420,0.260995,4
img46.jpg,0.739041,0.594039,0.083550,0.108796,4
img46.jpg,0.821181,0.609230,0.044705,0.057002,6
img46.jpg,0.818793,0.711372,0.021701,0.029225,2
img47.jpg,0.567853,0.480806,0.208623,0.160687,1
img48.jpg,0.164738,0.405816,0.095679,0.140914,1
img48.jpg,0.813175,0.382523,0.097415,0.145255,1
img49.jpg,0.552357,0.400585,0.152961,0.131579,1
img5.jpg,0.520569,0.543959,0.501543,0.360925,1
img50.jpg,0.133309,0.505208,0.135665,0.190476,1
img50.jpg,0.081349,0.253162,0.011905,0.015253,1
img50.jpg,0.918279,0.428757,0.076637,0.133557,1
img50.jpg,0.493552,0.243118,0.008433,0.013765,1
img51.jpg,0.877315,0.575617,0.145833,0.128086,1
img52.jpg,0.861250,0.296125,0.140500,0.19275,6
img53.jpg,0.447319,0.474625,0.226472,0.16425,7
img53.jpg,0.444694,0.725500,0.118485,0.092,2
img54.jpg,0.550829,0.074653,0.122878,0.148727,1
img6.jpg,0.531565,0.664427,0.372414,0.258133,1
img7.jpg,0.552702,0.458767,0.278301,0.188957,1
img8.jpg,0.772931,0.484620,0.186801,0.125093,1
img9.jpg,0.466435,0.494160,0.206019,0.423927,1
